Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
SF,4.1,1.8,0.9,5.5,2.5,2.3,1.2,1.2,0.047,0.59,0.405,0.77,0.978,0.39
PF,13.0,6.1,4.7,7.3,4.5,2.0,1.0,2.5,0.191,0.569,0.13,0.645,1.0,0.565
C,13.4,4.6,5.0,9.0,1.6,1.6,2.2,2.0,0.27,0.75,0.0,0.7440000000000001,0.0,0.0
SF,7.8,2.1,0.8,4.8,2.5,1.3,0.3,1.5,0.163,0.8,0.493,0.308,0.8859999999999999,0.366
C,10.2,1.9,2.5,8.4,6.5,1.2,1.5,1.9,0.17800000000000002,0.746,0.35,0.614,0.98,0.127
SF,4.5,2.2,1.4,5.1,2.1,1.6,0.8,1.3,0.065,0.679,0.363,0.733,0.946,0.414
C,9.9,7.8,6.3,12.2,1.6,1.1,2.9,3.1,0.181,0.8140000000000001,0.6,0.618,1.0,0.2
SG,7.3,1.7,0.9,5.1,5.6,1.4,0.7,2.3,0.118,0.5760000000000001,0.38,0.392,0.85,0.165
SF,8.8,3.3,1.0,5.6,2.6,1.0,0.4,2.4,0.133,0.591,0.355,0.564,0.944,0.336
SF,12.5,7.1,1.6,8.2,2.4,2.5,0.6,2.5,0.229,0.607,0.316,0.618,1.0,0.5529999999999999
C,15.6,4.0,3.7,10.8,2.5,0.9,1.5,3.5,0.264,0.764,0.385,0.799,1.0,0.11
SF,4.8,1.8,2.0,7.1,6.0,1.6,2.5,3.0,0.068,0.7390000000000001,0.298,0.667,0.929,0.468
PF,8.2,4.0,2.9,11.1,2.3,1.1,0.8,1.6,0.163,0.649,0.365,0.802,0.98,0.234
PF,4.6,2.1,0.6,5.7,8.5,1.5,0.3,3.2,0.156,0.736,0.399,0.371,0.652,0.21
PF,15.7,8.1,1.1,7.2,5.7,1.3,0.8,4.2,0.128,0.654,0.391,0.317,0.887,0.26
PG,19.7,7.3,1.6,5.8,9.2,1.9,0.7,3.7,0.173,0.6709999999999999,0.394,0.203,0.35700000000000004,0.099
PF,11.8,3.8,2.9,8.6,2.4,2.6,3.9,2.4,0.099,0.667,0.34,0.597,0.938,0.245
SF,7.7,5.0,1.2,5.5,3.1,1.3,0.7,1.3,0.146,0.643,0.341,0.551,0.75,0.329
PG,10.9,4.4,1.3,3.5,3.5,1.0,0.2,2.8,0.16,0.5579999999999999,0.326,0.494,0.894,0.368
C,11.1,5.4,1.6,6.0,2.2,1.2,2.6,2.8,0.232,0.708,0.394,0.644,0.924,0.19
SF,10.7,6.1,1.3,6.7,4.3,2.2,1.1,3.4,0.208,0.78,0.319,0.511,0.957,0.319
PF,8.2,2.3,1.2,5.9,2.4,0.7,0.5,0.6,0.196,0.5589999999999999,0.294,0.816,0.938,0.233
SG,11.8,3.5,1.1,4.9,8.2,0.8,0.3,3.3,0.227,0.561,0.393,0.156,0.667,0.193
PG,15.0,4.3,1.4,3.9,9.3,1.0,0.1,3.0,0.237,0.531,0.378,0.111,0.5479999999999999,0.122
SG,8.5,2.7,0.8,5.9,7.1,0.7,0.5,3.7,0.211,0.6,0.413,0.219,0.8079999999999999,0.28600000000000003
PG,18.0,7.8,1.4,9.4,14.0,1.6,0.7,5.4,0.139,0.727,0.348,0.234,0.473,0.061
SG,7.6,2.1,1.0,5.2,2.4,1.4,0.3,0.7,0.225,0.9,0.278,0.8,1.0,0.444
SG,9.1,2.3,1.0,5.6,6.4,2.2,0.4,2.6,0.23,0.5329999999999999,0.28,0.25,0.857,0.22
PF,5.0,2.2,1.8,5.2,2.6,1.4,0.8,1.2,0.044,0.711,0.39,0.743,0.991,0.397
PF,9.5,3.7,1.9,7.1,5.7,1.9,2.5,3.7,0.153,0.713,0.363,0.457,0.879,0.17600000000000002
PF,7.3,2.4,1.4,7.6,3.6,1.0,2.3,2.6,0.161,0.741,0.35600000000000004,0.609,0.938,0.244
C,11.3,4.7,2.3,6.7,7.3,2.6,2.6,4.5,0.14800000000000002,0.698,0.37,0.383,0.8240000000000001,0.109
SF,10.6,7.0,1.6,7.5,2.4,2.2,0.3,2.1,0.191,0.711,0.591,0.625,1.0,0.682
PG,8.8,3.3,1.2,3.9,4.9,1.1,0.6,1.9,0.112,0.556,0.319,0.627,0.947,0.151
PG,8.1,2.9,0.9,3.9,4.6,1.1,0.7,2.2,0.105,0.5710000000000001,0.289,0.61,0.917,0.181
C,17.3,6.4,3.5,11.5,10.8,1.8,0.9,4.8,0.275,0.7240000000000001,0.314,0.511,0.85,0.039
C,8.9,4.4,3.9,6.9,1.8,1.4,2.1,1.5,0.107,0.759,0.222,0.8240000000000001,1.0,0.778
SF,7.7,4.4,2.3,5.9,2.2,2.1,1.3,1.1,0.112,0.737,0.28,0.7759999999999999,0.973,0.5379999999999999
PG,11.6,2.2,0.3,3.6,10.8,2.2,0.2,2.1,0.242,0.653,0.379,0.387,0.745,0.177
C,11.0,4.7,5.4,16.1,4.0,0.7,2.0,2.8,0.15,0.7290000000000001,0.0,0.743,0.0,0.0
PG,7.0,1.9,1.2,4.0,6.9,1.5,0.6,2.2,0.201,0.677,0.35200000000000004,0.217,0.893,0.245
C,11.2,5.5,2.1,8.6,4.6,0.9,0.6,2.3,0.195,0.6,0.331,0.68,1.0,0.056
C,16.7,4.9,8.0,13.2,2.7,1.1,2.0,2.7,0.27,0.639,0.14300000000000002,0.47,1.0,0.14300000000000002
SG,8.5,4.0,0.5,4.7,6.1,0.6,0.3,2.3,0.117,0.721,0.399,0.474,0.8079999999999999,0.18600000000000005
PF,8.1,2.5,2.5,9.3,2.5,0.4,1.1,2.8,0.333,0.5,0.25,0.706,1.0,0.3
PF,11.3,2.8,2.8,8.1,3.1,0.0,0.9,2.2,0.302,0.5,0.294,0.615,1.0,0.294
PF,5.0,2.4,2.9,7.1,2.3,0.6,2.1,1.5,0.066,0.669,0.373,0.831,1.0,0.379
SG,3.8,3.6,0.4,3.9,7.3,1.1,0.3,4.0,0.066,0.364,0.344,0.14300000000000002,0.5329999999999999,0.107
SG,4.4,2.6,0.6,3.4,6.3,1.0,0.4,3.2,0.07,0.5,0.297,0.111,0.579,0.156
SF,8.4,4.2,1.2,6.5,2.5,1.0,1.2,1.9,0.125,0.564,0.327,0.506,0.923,0.241
SG,6.4,3.2,0.6,4.7,2.5,1.3,0.5,1.8,0.123,0.677,0.402,0.727,0.972,0.213
C,6.8,2.4,1.9,5.3,2.8,0.9,2.2,1.2,0.102,0.741,0.287,0.863,1.0,0.213
SF,2.7,2.0,0.7,5.1,3.2,1.2,0.6,2.3,0.017,0.455,0.418,0.778,0.97,0.236
PF,6.0,2.6,1.7,7.7,3.5,1.7,0.3,3.2,0.124,0.645,0.3670000000000001,0.804,0.97,0.17800000000000002
PF,12.3,4.8,1.6,6.9,2.5,0.9,0.8,2.8,0.226,0.7829999999999999,0.316,0.605,0.93,0.232
C,11.3,2.8,5.5,8.7,3.5,0.6,2.6,2.5,0.279,0.6729999999999999,0.231,0.731,1.0,0.154
SG,12.1,4.1,0.9,6.6,3.6,2.1,0.8,1.9,0.146,0.624,0.335,0.368,0.755,0.165
SG,6.9,3.3,2.0,3.4,1.7,1.0,1.0,1.4,0.275,0.556,0.185,0.478,1.0,0.444
SG,16.5,7.7,0.9,5.7,5.9,2.0,0.6,4.8,0.083,0.623,0.38,0.406,0.5489999999999999,0.16699999999999998
SF,9.8,2.9,1.6,3.7,1.4,1.6,0.9,2.2,0.14,0.635,0.333,0.789,0.917,0.208
SG,4.9,1.0,1.0,3.5,1.7,2.5,0.8,1.5,0.134,0.7140000000000001,0.447,0.421,0.857,0.383
SG,9.1,4.2,1.1,7.0,4.5,1.7,0.2,2.3,0.151,0.662,0.35600000000000004,0.7659999999999999,0.953,0.218
C,12.6,5.1,4.8,10.7,2.4,1.1,2.3,2.7,0.197,0.695,0.271,0.727,1.0,0.458
C,12.8,5.1,4.3,10.1,2.6,1.3,2.1,2.4,0.185,0.693,0.25,0.7340000000000001,1.0,0.464
C,12.1,5.2,6.7,12.9,1.7,0.6,3.2,3.5,0.254,0.703,0.667,0.6970000000000001,1.0,0.333
SF,20.7,10.3,1.4,8.9,7.2,2.6,0.8,3.8,0.174,0.698,0.378,0.284,0.626,0.052000000000000005
C,5.0,1.3,1.4,10.9,2.6,0.7,0.7,1.8,0.141,0.818,0.414,0.833,0.943,0.14800000000000002
SG,18.2,7.0,1.7,5.0,7.1,1.9,0.4,4.2,0.253,0.606,0.364,0.247,0.463,0.086
PG,13.0,10.0,0.6,4.8,10.2,1.3,0.4,3.7,0.079,0.618,0.401,0.099,0.289,0.036000000000000004
PF,7.7,3.7,2.6,6.4,1.8,1.1,1.2,1.2,0.166,0.667,0.237,0.6859999999999999,1.0,0.407
C,11.9,2.2,5.1,6.9,3.7,2.2,1.1,2.2,0.253,0.7,0.071,0.5,1.0,0.429
C,8.7,3.8,1.5,6.4,2.5,1.2,4.1,1.8,0.183,0.6970000000000001,0.314,0.6679999999999999,0.99,0.215
C,9.2,2.5,2.7,5.0,2.1,0.5,2.1,3.0,0.35100000000000003,0.684,0.333,0.58,1.0,0.524
PF,9.2,6.0,1.5,13.5,4.9,0.9,0.5,3.8,0.116,0.66,0.374,0.586,0.932,0.141
PG,7.6,7.8,0.7,5.9,9.8,1.9,0.6,4.0,0.093,0.643,0.35200000000000004,0.235,0.5429999999999999,0.08800000000000001
SF,6.0,4.5,1.6,5.4,1.6,1.0,0.4,2.1,0.08199999999999999,0.5870000000000001,0.388,0.6,1.0,0.406
PF,6.6,1.7,2.7,10.9,2.6,1.1,1.1,1.5,0.108,0.637,0.387,0.75,1.0,0.274
C,10.6,6.5,4.5,8.1,2.8,1.8,2.5,2.6,0.35200000000000004,0.6829999999999999,0.192,0.677,1.0,0.154
C,8.2,7.0,3.4,7.2,2.7,1.6,2.5,2.9,0.223,0.7340000000000001,0.344,0.7609999999999999,0.955,0.469
PF,8.8,4.9,1.9,8.2,2.4,1.4,0.7,2.6,0.149,0.648,0.344,0.535,0.991,0.142
SF,7.4,3.3,1.6,4.4,3.6,1.9,1.1,2.4,0.06,0.424,0.541,0.588,1.0,0.189
SF,7.2,3.6,2.1,6.7,5.3,2.2,0.5,2.4,0.101,0.6809999999999999,0.234,0.535,0.944,0.364
SF,8.0,2.9,1.1,7.9,2.2,0.7,0.8,1.9,0.16,0.727,0.26,0.696,0.84,0.396
SG,2.1,7.0,1.2,3.7,2.1,1.6,0.2,1.6,0.054000000000000006,1.0,0.413,0.6,0.947,0.239
SG,3.5,1.9,0.6,4.0,2.6,1.1,0.3,1.2,0.081,0.691,0.364,0.61,0.935,0.276
SF,4.8,0.9,1.0,3.5,4.1,2.0,0.2,1.5,0.142,0.5489999999999999,0.324,0.568,1.0,0.479
SG,15.7,3.4,0.9,4.7,5.8,1.0,0.8,2.4,0.161,0.597,0.379,0.223,0.665,0.146
PG,14.4,1.5,1.4,5.5,13.0,2.0,0.4,3.7,0.243,0.604,0.294,0.232,1.0,0.353
SF,7.9,2.9,2.6,8.5,2.2,1.4,0.5,1.9,0.214,0.6,0.375,0.5,1.0,0.583
PF,8.9,2.1,0.9,5.2,2.8,0.4,0.2,1.5,0.086,0.6809999999999999,0.435,0.856,1.0,0.241
C,12.6,3.5,5.3,11.2,1.6,1.5,4.0,2.3,0.239,0.743,0.5,0.7190000000000001,0.667,0.0
SG,5.0,1.8,1.6,6.6,2.0,1.4,0.4,1.3,0.232,0.6759999999999999,0.27,0.7290000000000001,1.0,0.472
SF,8.7,2.5,3.0,6.2,1.1,1.9,0.7,2.1,0.181,0.6940000000000001,0.215,0.6779999999999999,1.0,0.446
PG,8.0,3.1,0.6,3.3,9.8,2.7,0.3,2.4,0.185,0.6459999999999999,0.382,0.328,0.759,0.118
SF,2.7,1.9,0.6,3.9,1.7,1.3,0.5,1.4,0.031,0.743,0.4,0.8690000000000001,0.967,0.294
SG,14.4,6.6,1.1,6.4,5.6,1.3,1.0,2.6,0.16899999999999998,0.62,0.35700000000000004,0.394,0.6890000000000001,0.183
SG,15.1,5.9,1.2,6.2,5.9,1.4,1.1,2.7,0.17,0.6779999999999999,0.377,0.409,0.7,0.17
C,5.2,3.2,1.7,6.3,3.6,1.5,1.0,2.0,0.099,0.755,0.335,0.612,1.0,0.233
PG,10.4,4.8,1.7,7.1,7.0,3.1,0.8,3.4,0.177,0.627,0.28600000000000003,0.529,0.875,0.16399999999999998
SF,14.6,5.6,1.1,8.3,6.5,1.3,0.2,3.4,0.129,0.7,0.415,0.377,0.701,0.15
PG,6.3,3.6,0.7,2.8,3.8,1.7,0.2,1.7,0.042,0.6859999999999999,0.382,0.51,0.779,0.208
PF,12.5,5.6,3.9,7.8,3.3,1.8,1.2,2.8,0.247,0.6709999999999999,0.435,0.631,1.0,0.274
SG,8.6,3.9,0.9,4.4,6.3,1.2,0.4,2.8,0.155,0.672,0.43,0.382,0.879,0.207
SG,17.9,6.6,1.1,5.2,6.1,1.4,0.3,3.8,0.229,0.626,0.366,0.217,0.595,0.127
SF,5.6,1.7,3.0,1.3,1.7,1.7,0.0,0.9,0.0,0.5,0.4,0.667,1.0,0.5329999999999999
SG,12.2,4.3,1.2,5.6,4.9,1.1,0.7,3.3,0.203,0.6709999999999999,0.284,0.526,0.862,0.162
SG,12.2,2.0,1.4,4.5,3.5,1.5,0.5,1.8,0.243,0.685,0.377,0.455,0.952,0.329
PG,17.1,6.9,1.1,4.7,11.0,1.3,0.4,5.0,0.248,0.606,0.335,0.282,0.55,0.101
SF,11.5,5.5,1.5,6.3,2.1,1.2,0.7,2.4,0.128,0.583,0.408,0.366,0.789,0.221
SF,13.1,7.0,1.7,6.5,2.1,1.2,0.6,2.6,0.138,0.561,0.439,0.29100000000000004,0.767,0.189
PF,7.7,1.9,0.9,5.8,2.3,1.1,1.1,2.1,0.092,0.667,0.31,0.625,0.885,0.321
PF,9.5,3.5,1.6,7.3,3.2,1.3,0.7,3.1,0.151,0.674,0.386,0.635,0.977,0.298
PF,10.0,3.9,1.2,7.4,3.4,1.3,0.5,3.5,0.157,0.6709999999999999,0.397,0.63,1.0,0.28600000000000003
PF,7.2,1.4,3.8,6.9,1.9,1.2,1.4,1.4,0.116,0.6920000000000001,0.333,0.667,0.846,0.359
PG,11.9,2.7,0.7,3.4,7.7,1.7,0.5,1.6,0.187,0.716,0.378,0.369,0.862,0.366
PG,13.7,4.8,1.0,6.2,6.6,1.4,0.6,4.4,0.18,0.586,0.345,0.273,0.7,0.276
PG,14.9,3.2,2.0,8.9,7.7,3.1,0.5,3.5,0.171,0.591,0.369,0.281,0.976,0.369
PG,14.8,4.8,1.2,5.0,7.4,1.7,0.4,3.3,0.135,0.667,0.34600000000000003,0.47,0.67,0.093
SF,9.1,5.8,2.0,6.3,4.2,1.5,0.1,3.5,0.145,0.5479999999999999,0.244,0.556,0.895,0.141
C,3.9,1.9,1.4,7.8,3.4,0.8,1.0,1.4,0.021,0.654,0.378,0.7829999999999999,1.0,0.168
SF,4.7,2.7,0.7,3.4,4.1,1.6,0.2,2.4,0.094,0.5710000000000001,0.404,0.529,0.939,0.218
SF,7.6,3.7,0.8,4.8,2.1,1.3,1.1,2.4,0.179,0.716,0.375,0.653,0.979,0.328
PF,9.0,2.4,3.5,10.0,4.1,1.9,0.7,2.0,0.109,0.753,0.35200000000000004,0.613,0.982,0.27
PG,7.5,5.3,0.9,4.6,9.1,2.4,0.4,4.4,0.077,0.69,0.317,0.205,0.539,0.108
PG,6.7,4.8,0.9,5.0,10.1,2.2,0.4,4.1,0.071,0.667,0.29600000000000004,0.194,0.511,0.113
PG,8.8,6.2,0.9,3.7,7.2,2.8,0.4,5.0,0.087,0.735,0.358,0.222,0.586,0.099
PG,9.7,3.4,0.8,3.6,6.9,1.7,0.4,3.4,0.158,0.647,0.386,0.284,0.8240000000000001,0.125
PF,5.1,1.3,0.8,5.9,2.3,0.9,0.3,1.6,0.134,0.765,0.4,0.412,0.989,0.369
C,11.5,4.6,3.9,9.0,2.5,2.5,3.9,2.8,0.18600000000000005,0.861,0.333,0.831,1.0,0.333
SG,8.3,5.2,0.9,3.1,5.8,0.9,0.3,0.9,0.17,0.6,0.115,0.563,0.667,0.308
PG,8.0,2.4,0.9,4.0,7.1,2.2,0.7,2.9,0.078,0.5670000000000001,0.321,0.264,0.795,0.182
PG,13.0,2.5,0.5,4.0,5.5,1.4,0.4,2.8,0.141,0.636,0.35,0.371,0.752,0.228
SF,7.6,4.8,1.4,6.5,1.4,1.9,2.1,1.4,0.183,0.655,0.429,0.64,1.0,0.464
SF,2.9,1.3,0.6,8.6,4.3,1.4,0.8,1.4,0.101,0.635,0.377,0.848,1.0,0.32
C,9.0,3.1,5.3,12.7,7.9,1.1,3.7,3.1,0.071,0.6559999999999999,0.259,0.6859999999999999,0.857,0.14800000000000002
PF,3.3,1.5,1.2,5.7,1.8,1.0,0.2,0.9,0.14300000000000002,0.556,0.378,0.625,0.958,0.409
C,15.8,6.1,4.8,7.8,3.7,0.7,2.2,3.8,0.34600000000000003,0.779,0.333,0.55,1.0,0.333
PG,7.2,4.7,1.1,4.9,7.6,1.6,0.3,2.5,0.127,0.579,0.35200000000000004,0.468,0.8,0.183
SG,7.3,5.7,2.6,5.4,3.0,2.0,0.8,2.6,0.17600000000000002,0.64,0.266,0.55,0.927,0.299
SG,13.0,5.4,0.8,6.1,5.1,1.6,0.4,4.3,0.073,0.441,0.317,0.422,0.455,0.096
C,6.2,3.8,1.7,9.8,4.4,1.7,0.9,2.7,0.098,0.693,0.406,0.6970000000000001,0.947,0.197
SF,7.3,2.4,1.0,4.9,3.9,1.4,0.4,2.3,0.125,0.604,0.383,0.545,0.894,0.221
SF,12.7,6.0,1.6,7.2,2.1,1.7,1.0,2.0,0.166,0.5870000000000001,0.35200000000000004,0.574,0.954,0.28300000000000003
PF,15.8,4.1,3.1,7.8,3.5,2.3,0.8,3.3,0.175,0.7290000000000001,0.269,0.594,0.969,0.319
PF,15.5,4.0,3.0,7.6,3.2,2.3,0.8,3.3,0.17600000000000002,0.7190000000000001,0.27,0.593,0.968,0.322
PF,14.8,6.1,2.4,5.6,3.7,0.9,0.4,2.7,0.22,0.725,0.287,0.569,0.973,0.256
C,12.1,6.2,4.5,7.0,1.9,1.0,1.3,2.6,0.353,0.745,0.0,0.639,0.0,0.0
PF,3.7,2.6,2.1,7.1,2.5,0.4,0.2,1.3,0.064,0.552,0.39,0.7859999999999999,1.0,0.413
PG,12.8,6.1,0.6,7.1,10.4,2.4,0.2,3.5,0.122,0.852,0.365,0.124,0.324,0.102
PG,14.5,3.4,2.0,6.3,12.6,2.7,0.7,3.8,0.268,0.575,0.203,0.212,0.857,0.159
SF,7.6,0.9,2.8,5.8,5.2,3.6,0.8,2.2,0.129,0.64,0.28300000000000003,0.629,1.0,0.391
SG,9.7,2.1,1.3,5.7,7.3,2.2,0.5,4.3,0.09,0.481,0.188,0.16699999999999998,0.667,0.05
C,13.2,7.2,4.6,10.2,7.2,1.5,1.8,3.8,0.229,0.779,0.0,0.723,0.0,0.4
C,10.9,3.5,5.3,10.0,4.7,1.5,3.9,2.2,0.267,0.674,0.0,0.753,0.0,0.0
SG,8.9,4.5,0.3,4.1,5.0,1.3,0.4,2.8,0.094,0.523,0.279,0.462,0.851,0.113
SF,11.0,4.2,0.9,5.9,4.6,1.9,0.6,3.9,0.121,0.718,0.335,0.444,0.755,0.196
SF,12.9,3.9,3.6,10.6,2.5,1.5,1.4,2.7,0.115,0.721,0.422,0.632,0.8390000000000001,0.259
SF,11.4,3.9,1.9,5.1,3.6,2.2,0.9,1.6,0.193,0.391,0.387,0.342,0.917,0.226
PF,14.1,3.3,2.8,9.0,3.4,1.1,0.6,2.6,0.211,0.616,0.358,0.5660000000000001,0.985,0.193
C,14.1,7.5,2.7,11.7,2.7,1.1,3.1,2.5,0.124,0.725,0.35200000000000004,0.727,0.972,0.04
C,8.7,5.1,3.4,6.9,2.7,1.5,1.0,1.6,0.135,0.813,0.256,0.809,1.0,0.308
SG,10.5,4.9,0.8,5.3,2.9,1.9,0.7,2.5,0.13699999999999998,0.662,0.399,0.6679999999999999,0.954,0.311
PF,7.8,2.3,1.3,8.4,3.0,1.5,0.6,3.2,0.112,0.54,0.339,0.5760000000000001,0.877,0.309
PF,18.1,8.2,3.5,11.0,4.6,1.2,0.5,4.5,0.235,0.631,0.277,0.404,0.938,0.16899999999999998
SF,9.1,3.8,1.1,5.4,2.6,1.9,0.8,2.9,0.134,0.54,0.332,0.508,0.867,0.284
SG,6.8,5.4,0.3,4.1,3.5,0.6,0.3,2.2,0.055,0.595,0.453,0.8109999999999999,0.933,0.139
C,13.7,5.0,3.2,8.4,3.3,1.8,2.1,2.1,0.198,0.598,0.33,0.603,0.938,0.155
SG,11.4,4.0,1.2,3.8,4.6,1.5,1.0,3.0,0.142,0.636,0.341,0.43,0.812,0.12
SG,6.7,3.2,0.8,4.3,3.3,1.4,0.3,1.5,0.158,0.584,0.35600000000000004,0.27,0.708,0.207
SG,1.8,1.6,0.2,5.0,2.3,0.8,0.4,1.6,0.029,0.8440000000000001,0.446,0.83,0.963,0.234
SF,10.6,2.3,2.2,5.1,2.6,1.4,0.4,1.5,0.171,0.7090000000000001,0.391,0.777,0.922,0.376
SF,10.6,2.3,2.1,5.1,2.7,1.4,0.4,1.6,0.17,0.68,0.4,0.773,0.912,0.371
SF,10.4,2.2,2.7,5.2,2.0,1.6,0.4,0.9,0.17600000000000002,0.815,0.333,0.8,1.0,0.407
SG,7.5,2.7,0.6,5.6,4.2,1.3,0.8,2.4,0.129,0.6,0.32,0.439,0.918,0.261
SG,6.9,1.9,0.5,5.5,4.6,1.3,0.8,2.6,0.125,0.632,0.284,0.407,0.895,0.269
SG,8.2,3.5,0.7,5.7,3.8,1.4,0.8,2.1,0.132,0.563,0.349,0.462,0.933,0.256
C,11.8,5.1,6.4,8.3,1.2,1.8,4.1,1.3,0.073,0.775,0.0,0.6679999999999999,0.0,0.0
PG,9.8,2.0,1.1,5.8,11.6,1.9,0.1,4.4,0.171,0.58,0.328,0.125,0.659,0.192
PG,23.0,5.3,1.0,3.6,10.5,1.5,0.6,4.8,0.252,0.665,0.306,0.173,0.644,0.122
SG,8.8,4.7,0.3,5.4,2.1,2.0,0.6,1.8,0.066,0.763,0.35100000000000003,0.628,0.87,0.08900000000000001
PG,12.0,4.4,1.2,5.2,6.0,1.4,0.2,3.3,0.149,0.5529999999999999,0.407,0.319,0.8079999999999999,0.187
PG,11.2,5.3,1.1,6.1,13.4,2.2,0.3,4.1,0.13699999999999998,0.529,0.361,0.278,0.872,0.269
PG,13.6,6.5,0.6,5.2,9.3,1.6,0.4,4.8,0.118,0.7120000000000001,0.3670000000000001,0.243,0.5379999999999999,0.081
PG,14.2,6.5,0.6,4.9,9.3,1.4,0.4,4.6,0.124,0.767,0.374,0.275,0.608,0.09
PG,12.0,6.5,0.4,6.2,9.4,2.0,0.5,5.4,0.1,0.609,0.345,0.14300000000000002,0.316,0.055
PF,17.6,6.7,4.2,13.1,7.0,1.1,0.7,3.8,0.225,0.6859999999999999,0.254,0.6509999999999999,1.0,0.09
PF,10.5,2.8,2.1,7.0,2.2,1.6,1.2,1.5,0.165,0.773,0.154,0.7879999999999999,1.0,0.769
PF,8.8,3.7,2.9,8.9,3.6,1.1,0.5,2.6,0.141,0.669,0.35700000000000004,0.669,0.976,0.166
SG,9.0,3.1,1.9,4.6,9.1,2.1,0.2,3.3,0.212,0.595,0.322,0.341,0.906,0.28600000000000003
PF,3.9,1.9,0.9,5.1,1.9,1.0,0.5,0.9,0.109,0.5710000000000001,0.311,0.688,1.0,0.295
PG,15.6,5.7,0.5,5.3,6.4,1.1,0.3,4.0,0.121,0.639,0.385,0.35700000000000004,0.84,0.105
PF,5.3,1.5,2.6,7.3,2.2,0.8,0.2,1.0,0.086,0.603,0.369,0.696,1.0,0.217
PF,3.9,0.8,2.2,7.6,2.7,2.5,1.3,1.6,0.066,0.826,0.278,0.591,1.0,0.444
PG,18.9,6.1,1.4,3.2,4.4,1.5,0.2,3.6,0.215,0.615,0.38,0.293,0.742,0.11
SG,3.1,2.5,0.2,3.1,3.2,0.7,0.3,1.4,0.043,0.6859999999999999,0.375,0.596,0.973,0.267
SF,6.1,1.4,1.8,4.9,2.4,2.4,0.4,2.0,0.031,0.6,0.242,0.769,0.875,0.242
PF,16.7,6.8,1.4,8.5,4.7,1.4,1.2,3.3,0.235,0.703,0.359,0.423,0.664,0.222
PG,15.4,7.2,2.7,8.0,10.9,2.9,0.8,4.8,0.304,0.7190000000000001,0.28600000000000003,0.507,1.0,0.429
SG,10.2,3.0,0.8,4.2,3.2,0.9,0.3,2.0,0.131,0.575,0.332,0.374,0.68,0.168
SG,7.2,3.8,1.1,4.6,7.3,2.5,0.7,2.6,0.163,0.539,0.34700000000000003,0.303,0.723,0.147
PG,14.2,4.8,1.9,5.2,8.9,2.5,0.7,5.3,0.128,0.5429999999999999,0.29600000000000004,0.179,0.563,0.14800000000000002
PG,13.6,2.2,0.8,4.9,8.7,1.5,0.8,2.5,0.168,0.617,0.3670000000000001,0.171,0.742,0.272
SF,3.8,1.0,0.3,3.1,3.8,1.0,0.4,0.9,0.118,0.6920000000000001,0.402,0.647,0.892,0.374
C,10.0,5.0,4.2,7.7,2.5,1.8,1.3,2.9,0.112,0.556,0.391,0.607,1.0,0.182
SG,9.7,3.1,1.2,3.8,6.0,1.6,1.0,2.4,0.204,0.725,0.264,0.574,0.929,0.302
PF,7.5,2.8,4.5,12.1,5.1,0.5,1.2,6.1,0.191,0.7240000000000001,0.0,0.75,0.0,0.5
PF,7.4,2.7,4.5,12.2,5.2,0.4,0.9,5.6,0.18600000000000005,0.741,0.0,0.731,0.0,0.5
PF,16.1,6.7,1.4,8.4,4.3,2.0,1.2,3.3,0.155,0.618,0.403,0.433,0.545,0.171
PG,11.8,6.3,0.9,3.7,9.8,1.4,0.6,3.7,0.297,0.574,0.368,0.159,0.465,0.085
PG,11.6,7.1,0.7,3.6,10.2,1.2,0.6,3.7,0.315,0.531,0.379,0.134,0.424,0.08
PG,12.1,4.8,1.1,3.8,9.0,1.7,0.5,3.6,0.261,0.654,0.333,0.207,0.6,0.1
SG,5.5,2.4,0.8,5.2,4.3,1.3,0.8,1.7,0.055,0.584,0.329,0.611,0.858,0.28800000000000003
C,10.2,3.5,4.3,8.8,3.4,1.1,2.6,1.7,0.16899999999999998,0.7290000000000001,0.333,0.804,1.0,0.135
PG,12.0,3.8,0.6,2.9,7.4,0.7,0.3,3.9,0.157,0.536,0.413,0.385,0.769,0.111
SG,5.5,1.3,1.0,5.6,2.4,1.1,0.1,1.7,0.053,0.444,0.475,0.769,0.957,0.212
PF,15.2,4.6,6.4,9.9,3.4,0.9,1.4,2.9,0.3720000000000001,0.624,0.391,0.599,0.667,0.087
SG,4.1,1.5,1.7,2.4,3.0,3.5,1.8,1.9,0.079,0.653,0.35700000000000004,0.732,1.0,0.338
PF,2.0,1.6,1.9,6.5,2.3,1.0,0.6,1.9,0.06,0.4,0.338,0.875,0.98,0.228
PF,2.4,1.6,2.3,7.1,2.5,0.7,0.8,1.8,0.06,0.444,0.337,0.846,0.967,0.258
PF,1.4,1.6,1.0,5.5,2.0,1.4,0.2,1.8,0.063,0.0,0.415,1.0,1.0,0.171
SG,7.0,0.9,1.6,7.6,4.6,2.3,0.9,2.8,0.19,0.72,0.348,0.476,1.0,0.348
C,13.5,8.8,3.7,11.1,6.0,1.3,1.6,4.3,0.14800000000000002,0.721,0.412,0.505,0.816,0.101
SF,6.2,1.6,0.9,2.7,2.2,1.7,0.6,0.8,0.075,0.696,0.418,0.44,0.857,0.272
