Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
SG,16.7,9.6,0.5,5.1,8.6,0.9,0.3,5.0,0.136,0.72,0.354,0.416,0.61,0.09
C,10.5,6.7,6.2,9.9,1.5,1.3,3.5,1.6,0.1,0.621,0.322,0.66,1.0,0.14400000000000002
PG,10.1,1.9,1.1,4.6,6.2,2.1,0.5,3.3,0.159,0.657,0.308,0.446,0.727,0.234
SG,8.4,1.0,0.7,3.9,2.5,1.7,0.2,1.9,0.091,0.6459999999999999,0.364,0.738,0.921,0.468
C,13.7,3.4,8.1,11.5,1.7,1.0,2.4,2.2,0.201,0.743,1.0,0.691,1.0,0.0
SF,6.7,2.8,1.5,5.2,3.0,2.4,1.1,1.7,0.122,0.7490000000000001,0.361,0.763,0.986,0.49
SF,11.4,3.3,2.2,6.9,2.9,1.0,1.2,2.4,0.226,0.621,0.33,0.514,0.939,0.353
SF,2.1,2.1,1.3,10.2,3.0,1.3,1.1,1.6,0.034,0.25,0.392,0.5,0.95,0.294
PG,15.0,5.4,1.3,6.3,11.1,1.0,0.3,3.8,0.087,0.5329999999999999,0.326,0.187,0.453,0.078
SG,14.5,4.5,1.5,3.9,3.3,1.4,0.6,2.7,0.155,0.528,0.358,0.535,0.8909999999999999,0.107
PG,10.6,3.6,1.8,6.4,6.9,1.9,0.9,3.0,0.34700000000000003,0.6,0.344,0.382,0.97,0.625
SG,13.7,6.1,1.5,7.5,2.9,1.6,0.5,3.1,0.194,0.703,0.382,0.477,0.884,0.269
SF,7.1,2.4,1.8,9.0,3.0,1.7,0.4,2.5,0.125,0.569,0.324,0.471,0.909,0.324
SF,11.6,3.6,2.0,8.1,4.7,2.2,0.2,2.1,0.195,0.68,0.341,0.528,0.967,0.263
PG,12.7,3.5,1.0,5.3,8.9,1.0,0.2,3.1,0.258,0.623,0.358,0.239,0.8140000000000001,0.233
C,13.3,4.7,4.0,9.5,3.4,1.0,2.0,2.2,0.134,0.785,0.407,0.772,0.946,0.11
SG,8.0,1.5,0.9,3.9,3.0,1.8,0.2,1.4,0.071,0.6940000000000001,0.333,0.7170000000000001,0.973,0.27
PG,12.5,2.7,1.5,3.2,7.7,1.5,0.2,2.0,0.11,0.5489999999999999,0.4270000000000001,0.32299999999999995,0.8440000000000001,0.227
PG,13.1,2.7,2.2,2.9,7.8,1.0,0.1,1.8,0.118,0.688,0.421,0.395,0.938,0.132
SF,12.8,7.2,1.3,6.4,5.2,1.7,0.5,2.5,0.16399999999999998,0.565,0.385,0.424,0.6809999999999999,0.18600000000000005
SF,13.0,7.7,1.3,6.5,5.2,1.7,0.6,2.6,0.168,0.516,0.375,0.475,0.726,0.17
SG,12.0,5.5,1.5,6.0,5.1,1.6,0.0,2.0,0.15,0.8079999999999999,0.416,0.244,0.563,0.234
SF,15.9,13.1,2.6,7.0,8.7,2.6,0.8,3.2,0.257,0.655,0.244,0.402,0.552,0.193
SG,7.2,2.8,1.0,2.8,3.0,1.5,0.4,1.7,0.071,0.6509999999999999,0.385,0.7659999999999999,0.924,0.397
C,14.0,3.8,6.1,13.4,1.7,1.2,2.6,2.3,0.232,0.722,0.0,0.8029999999999999,0.0,0.0
SF,5.3,6.8,1.9,7.0,4.0,1.3,0.8,2.8,0.16699999999999998,0.563,0.242,0.647,0.875,0.364
PG,4.9,1.4,1.5,4.4,4.2,2.4,0.9,1.6,0.08199999999999999,0.486,0.425,0.436,0.903,0.342
PF,5.4,1.5,1.0,5.6,2.6,1.2,1.3,1.8,0.08199999999999999,0.417,0.302,0.457,0.8690000000000001,0.188
C,12.0,5.8,5.3,10.2,2.0,1.3,1.4,2.8,0.204,0.6940000000000001,0.207,0.695,1.0,0.414
SG,10.8,5.6,2.7,5.9,6.4,2.9,1.3,3.0,0.277,0.586,0.293,0.483,0.955,0.307
PG,6.9,3.8,0.7,4.3,5.0,2.8,0.7,2.1,0.134,0.684,0.333,0.575,0.875,0.325
C,13.1,2.9,3.7,10.1,3.1,2.1,2.7,1.7,0.238,0.787,0.0,0.789,0.0,0.0
C,13.1,2.9,3.6,9.4,3.1,2.3,2.5,1.8,0.249,0.774,0.0,0.764,0.0,0.0
C,13.5,2.8,4.0,14.5,3.1,1.2,3.4,1.5,0.17800000000000002,0.8440000000000001,0.0,0.903,0.0,0.0
PF,4.0,1.5,0.7,8.6,2.5,1.0,0.8,2.2,0.16399999999999998,0.722,0.306,0.514,1.0,0.256
PG,8.0,0.6,1.1,5.2,9.8,2.5,0.5,3.8,0.136,0.485,0.375,0.214,0.852,0.111
PG,8.5,0.9,1.5,4.9,9.4,1.9,0.3,3.9,0.113,0.5,0.35700000000000004,0.2,0.8,0.107
PF,13.8,6.2,4.6,10.0,4.6,1.6,2.5,3.1,0.223,0.674,0.205,0.743,1.0,0.077
SF,1.9,0.8,3.1,6.1,1.4,0.5,1.9,0.8,0.038,0.7859999999999999,0.35100000000000003,0.667,1.0,0.28800000000000003
PF,1.7,1.5,2.4,6.3,2.6,0.4,1.5,0.4,0.017,0.833,0.353,0.8,1.0,0.314
SF,1.9,0.4,3.6,6.0,0.7,0.5,2.1,1.1,0.054000000000000006,0.75,0.35,0.6,1.0,0.267
PF,14.9,4.0,3.3,9.1,2.9,1.1,1.7,2.0,0.215,0.773,0.359,0.813,1.0,0.422
SG,13.0,4.7,1.4,3.9,3.9,1.3,0.5,2.8,0.22,0.7020000000000001,0.368,0.256,0.77,0.232
